Title,Author,Date,Excerpt,Excerpt_cleaned,Excerpt_tokens,polarity,sentiment
Trump halts tariffs for 90 days,Bethel Olujobi,"Apr 09, 2025",U.S. President Donald Trump has announced a 90-day pause on his sweeping tariffs targeting dozens of countries only days after...,u president donald trump announced 90day pause sweeping tariff targeting dozen country day,"['u', 'president', 'donald', 'trump', 'announced', '90day', 'pause', 'sweeping', 'tariff', 'targeting', 'dozen', 'country', 'day']",0.0,Neutral
Business confidence rises third consecutive month on reforms,Boluwatife Omotayo,"Apr 09, 2025",Business confidence in Nigeria has risen for the third straight month in 2025 as the federal government reforms continue to...,business confidence nigeria risen third straight month 2025 federal government reform continue,"['business', 'confidence', 'nigeria', 'risen', 'third', 'straight', 'month', '2025', 'federal', 'government', 'reform', 'continue']",0.1,Neutral
Nigeria posts $6.83bn balance of payments surplus on reforms,Hope Moses-Ashike,"Apr 09, 2025",. Apex bank says signaling economic resurgence The Central Bank of Nigeria (CBN) has announced a balance of payments (BOP)...,apex bank say signaling economic resurgence central bank nigeria cbn announced balance payment bop,"['apex', 'bank', 'say', 'signaling', 'economic', 'resurgence', 'central', 'bank', 'nigeria', 'cbn', 'announced', 'balance', 'payment', 'bop']",0.1,Neutral
Court restrains Housing Ministry from demolishing Banana Island property,Chuka Uroko,"Apr 09, 2025",A federal high court sitting in Lagos has given an interim injunction restraining the Federal Ministry of Housing and Urban...,federal high court sitting lagos given interim injunction restraining federal ministry housing urban,"['federal', 'high', 'court', 'sitting', 'lagos', 'given', 'interim', 'injunction', 'restraining', 'federal', 'ministry', 'housing', 'urban']",0.08,Neutral
"Airlines slash fares to Europe on FX rate, low season",Ifeoma Okeke-Korieocha,"Apr 09, 2025",Low travel season and reduction in exchange rates are seeing airlines operating from Nigeria to Europe slash fares and offer...,low travel season reduction exchange rate seeing airline operating nigeria europe slash fare offer,"['low', 'travel', 'season', 'reduction', 'exchange', 'rate', 'seeing', 'airline', 'operating', 'nigeria', 'europe', 'slash', 'fare', 'offer']",0.0,Neutral
Naira for crude deal 'remains in effect' – FG,Abubakar Ibrahim,"Apr 09, 2025","The Federal Government, through the Ministry of Finance, has said that the Naira-for-crude deal between the government and local refiners,...",federal government ministry finance said nairaforcrude deal government local refiner,"['federal', 'government', 'ministry', 'finance', 'said', 'nairaforcrude', 'deal', 'government', 'local', 'refiner']",0.0,Neutral
"Rivers: Shock as Ibas defies court, appoints administrators in 23 LGAs",Ignatius Chukwu,"Apr 09, 2025","Ibok Ekwe Ibas, retired vice admiral and Sole Administrator for Rivers State, has approved appointment of 23 sole administrators in...",ibok ekwe ibas retired vice admiral sole administrator river state approved appointment 23 sole administrator,"['ibok', 'ekwe', 'ibas', 'retired', 'vice', 'admiral', 'sole', 'administrator', 'river', 'state', 'approved', 'appointment', '23', 'sole', 'administrator']",0.0,Neutral
Africa's audacious $60bn AI bet trails global counterparts,Temitayo Jaiyeola,"Apr 09, 2025","Africa is making an audacious $60 billion bet on Artificial Intelligence (AI) development. This amount, representing 2.2 percent of the...",africa making audacious 60 billion bet artificial intelligence ai development amount representing 22 percent,"['africa', 'making', 'audacious', '60', 'billion', 'bet', 'artificial', 'intelligence', 'ai', 'development', 'amount', 'representing', '22', 'percent']",-0.6,Negative
Pension cash floods infrastructure as assets triple,Modestus Anaesoronye,"Apr 09, 2025","Nigerian pension fund managers have tripled their exposure to infrastructure over the past five years, driven by better project structuring,...",nigerian pension fund manager tripled exposure infrastructure past five year driven better project structuring,"['nigerian', 'pension', 'fund', 'manager', 'tripled', 'exposure', 'infrastructure', 'past', 'five', 'year', 'driven', 'better', 'project', 'structuring']",0.125,Positive
Trump’s tariffs threaten FMCG recovery as naira takes hit,Wasiu Alli,"Apr 09, 2025",Nigeria’s fast moving consumer goods (FMCGs) sector was banking on the rare calmness of the naira and cooling prices to...,nigeria ’ fast moving consumer good fmcgs sector banking rare calmness naira cooling price,"['nigeria', '’', 'fast', 'moving', 'consumer', 'good', 'fmcgs', 'sector', 'banking', 'rare', 'calmness', 'naira', 'cooling', 'price']",0.39999999999999997,Positive
Natasha Akpoti-Uduaghan sues Nwaebonyi for N5bn over alleged defamation,BusinessDay,"Apr 08, 2025","Natasha Akpoti-Uduaghan, suspended senator representing Kogi Central, has filed a N5 billion defamation lawsuit against fellow senator Onyekachi Nwaebonyi over...",natasha akpotiuduaghan suspended senator representing kogi central filed n5 billion defamation lawsuit fellow senator onyekachi nwaebonyi,"['natasha', 'akpotiuduaghan', 'suspended', 'senator', 'representing', 'kogi', 'central', 'filed', 'n5', 'billion', 'defamation', 'lawsuit', 'fellow', 'senator', 'onyekachi', 'nwaebonyi']",0.0,Neutral
"Borno: We are losing ground to terrorists, Zulum raises alarm",Olatunji Omirin,"Apr 08, 2025","Governor Babagana Zulum of Borno State on Tuesday lamented over daily killing, dislodgement of military formations and abduction of people...",governor babagana zulum borno state tuesday lamented daily killing dislodgement military formation abduction people,"['governor', 'babagana', 'zulum', 'borno', 'state', 'tuesday', 'lamented', 'daily', 'killing', 'dislodgement', 'military', 'formation', 'abduction', 'people']",-0.05,Neutral
"Banana Island residents, ministry officials bicker over access road construction",Chuka Uroko,"Apr 08, 2025",The residents of Banana Island in Lagos and officials of the federal ministry of works were at logger-head Tuesday over...,resident banana island lagos official federal ministry work loggerhead tuesday,"['resident', 'banana', 'island', 'lagos', 'official', 'federal', 'ministry', 'work', 'loggerhead', 'tuesday']",0.0,Neutral
"Tinubu, Obi, others mourn boardroom icon Pascal Dozie",Faith Omoboye,"Apr 08, 2025","Nigeria is in mourning following the passing of one of its most illustrious business figures, Pascal Gabriel Dozie, who died...",nigeria mourning following passing one illustrious business figure pascal gabriel dozie died,"['nigeria', 'mourning', 'following', 'passing', 'one', 'illustrious', 'business', 'figure', 'pascal', 'gabriel', 'dozie', 'died']",0.0,Neutral
Pascal Dozie: The visionary who banked on Nigeria’s future,Faith Omoboye,"Apr 08, 2025","In the story of modern Nigerian enterprise, few names resonate as deeply as Pascal Dozie — a man whose journey...",story modern nigerian enterprise name resonate deeply pascal dozie — man whose journey,"['story', 'modern', 'nigerian', 'enterprise', 'name', 'resonate', 'deeply', 'pascal', 'dozie', '—', 'man', 'whose', 'journey']",0.1,Neutral
"Diamond Bank founder, Pascal Dozie dies at 86",Temi Bamgbose,"Apr 08, 2025","Pascal Dozie, a renowned Nigerian entrepreneur and business leader has died. He would have been 86 tomorrow. According to sources...",pascal dozie renowned nigerian entrepreneur business leader died would 86 tomorrow according source,"['pascal', 'dozie', 'renowned', 'nigerian', 'entrepreneur', 'business', 'leader', 'died', 'would', '86', 'tomorrow', 'according', 'source']",0.0,Neutral
Nigeria’s FDI outlook dims over oil price rout,BusinessDay,"Apr 08, 2025",..FG’s N20trn oil revenue threatened The sustained downturn in global oil prices is casting a long shadow over Nigeria’s energy...,fg ’ n20trn oil revenue threatened sustained downturn global oil price casting long shadow nigeria ’ energy,"['fg', '’', 'n20trn', 'oil', 'revenue', 'threatened', 'sustained', 'downturn', 'global', 'oil', 'price', 'casting', 'long', 'shadow', 'nigeria', '’', 'energy']",-0.025,Neutral
FG weighs budget reset amid Trump's tariff turmoil,Onyinye Nwachukwu,"Apr 08, 2025","…As MOFI launches performance scorecard to enhance portfolio transparency, governance In response to U.S. President Donald Trump’s 14 percent tariff...",…as mofi launch performance scorecard enhance portfolio transparency governance response u president donald trump ’ 14 percent tariff,"['…as', 'mofi', 'launch', 'performance', 'scorecard', 'enhance', 'portfolio', 'transparency', 'governance', 'response', 'u', 'president', 'donald', 'trump', '’', '14', 'percent', 'tariff']",0.0,Neutral
Banking on bytes: Lenders boost tech spend by 90%,Temitayo Jaiyeola,"Apr 08, 2025","Seven banks ramped up spending on technology in 2024 to match rising demand for electronic payments, which crossed the N1...",seven bank ramped spending technology 2024 match rising demand electronic payment crossed n1,"['seven', 'bank', 'ramped', 'spending', 'technology', '2024', 'match', 'rising', 'demand', 'electronic', 'payment', 'crossed', 'n1']",0.0,Neutral
Nigeria stocks join global plunge on tariff turmoil,Iheanyi Nwachukwu,"Apr 08, 2025",..Investors lose N659bn ..$5.3trn wiped off S&P 500 in two days Stock investors in Nigeria were left reeling from the...,investor lose n659bn 53trn wiped sp 500 two day stock investor nigeria left reeling,"['investor', 'lose', 'n659bn', '53trn', 'wiped', 'sp', '500', 'two', 'day', 'stock', 'investor', 'nigeria', 'left', 'reeling']",0.0,Neutral
Trump's tariffs seen reigniting AfCFTA,Bethel Olujobi,"Apr 08, 2025",U.S. President Donald Trump’s tariff blitz may do what years of diplomacy haven’t; push African nations to double down on...,u president donald trump ’ tariff blitz may year diplomacy ’ push african nation double,"['u', 'president', 'donald', 'trump', '’', 'tariff', 'blitz', 'may', 'year', 'diplomacy', '’', 'push', 'african', 'nation', 'double']",0.0,Neutral
"Saudi Arabia imposes visa ban on Nigeria, 13 others ahead of Hajj",Oluwatosin Ogunjuyigbe,"Apr 07, 2025","Saudi Arabia has announced a significant change to its visa policy, restricting nationals from 14 countries, including Nigeria, from applying...",saudi arabia announced significant change visa policy restricting national 14 country including nigeria applying,"['saudi', 'arabia', 'announced', 'significant', 'change', 'visa', 'policy', 'restricting', 'national', '14', 'country', 'including', 'nigeria', 'applying']",0.375,Positive
Nigeria stocks join global plunge on Trump's tariff turmoil,Iheanyi Nwachukwu,"Apr 07, 2025",…dips by 1.23% as week opens Nigeria’s stock investors lost about N659billion at the close of trading on Monday. The...,…dips 123 week open nigeria ’ stock investor lost n659billion close trading monday,"['…dips', '123', 'week', 'open', 'nigeria', '’', 'stock', 'investor', 'lost', 'n659billion', 'close', 'trading', 'monday']",0.0,Neutral
Top 10 stocks with the highest dividend yield in 2025,David Olujinmi,"Apr 07, 2025","Despite economic headwinds, thirty-nine of the 150 companies listed on the Nigerian Exchange declared dividends for the 2024 financial year....",despite economic headwind thirtynine 150 company listed nigerian exchange declared dividend 2024 financial year,"['despite', 'economic', 'headwind', 'thirtynine', '150', 'company', 'listed', 'nigerian', 'exchange', 'declared', 'dividend', '2024', 'financial', 'year']",0.1,Neutral
CBN opens dollar tap as Trump tariffs test naira,Hope Moses-Ashike,"Apr 07, 2025",The Central Bank of Nigeria (CBN) sold dollars on the official market Friday as it stepped in to bolster liquidity...,central bank nigeria cbn sold dollar official market friday stepped bolster liquidity,"['central', 'bank', 'nigeria', 'cbn', 'sold', 'dollar', 'official', 'market', 'friday', 'stepped', 'bolster', 'liquidity']",0.0,Neutral
Nine banks rake N922.5bn in fees as customers decry rising charges,Hope Moses-Ashike,"Apr 07, 2025",Some of Nigeria’s largest commercial banks earned a combined N922.5 billion ($589 million) from net fees and commission charges in...,nigeria ’ largest commercial bank earned combined n9225 billion 589 million net fee commission charge,"['nigeria', '’', 'largest', 'commercial', 'bank', 'earned', 'combined', 'n9225', 'billion', '589', 'million', 'net', 'fee', 'commission', 'charge']",0.0,Neutral
Nigeria’s local processing bill: Economic boost or burden?,BusinessDay,"Apr 07, 2025",A proposed bill in Nigeria mandating that all raw materials be processed locally to a minimum of 30 percent before...,proposed bill nigeria mandating raw material processed locally minimum 30 percent,"['proposed', 'bill', 'nigeria', 'mandating', 'raw', 'material', 'processed', 'locally', 'minimum', '30', 'percent']",-0.11538461538461539,Negative
Explainer. How banks defied odds to make record profits in 2024,Eniola Olatunji,"Apr 07, 2025",The ultimate paradox is unravelling in Nigeria as banks declare record profits at a time when several businesses are reporting...,ultimate paradox unravelling nigeria bank declare record profit time several business reporting,"['ultimate', 'paradox', 'unravelling', 'nigeria', 'bank', 'declare', 'record', 'profit', 'time', 'several', 'business', 'reporting']",0.0,Neutral
OpenAI vs. Google: The relentless battle for AI supremacy,Temitayo Jaiyeola,"Apr 07, 2025","Since OpenAI launched ChatGPT in 2022, artificial intelligence (AI) has reshaped the way humans think and operate. Contrary to fears...",since openai launched chatgpt 2022 artificial intelligence ai reshaped way human think operate contrary fear,"['since', 'openai', 'launched', 'chatgpt', '2022', 'artificial', 'intelligence', 'ai', 'reshaped', 'way', 'human', 'think', 'operate', 'contrary', 'fear']",-0.3,Negative
"Death toll from meningitis outbreak reaches 151, says NCDC",Godsgift Onyedinefu,"Apr 06, 2025",The Nigerian Centre for Disease Control (NCDC) has reported that the death toll from the ongoing meningitis outbreak has reached...,nigerian centre disease control ncdc reported death toll ongoing meningitis outbreak reached,"['nigerian', 'centre', 'disease', 'control', 'ncdc', 'reported', 'death', 'toll', 'ongoing', 'meningitis', 'outbreak', 'reached']",0.0,Neutral
"Three dead, over 3,000 displaced in Borno fire outbreak",BusinessDay,"Apr 06, 2025","A devastating fire ripped through the Kalari settlement in Konduga Local Government Area of Borno State on Saturday, killing three...",devastating fire ripped kalari settlement konduga local government area borno state saturday killing three,"['devastating', 'fire', 'ripped', 'kalari', 'settlement', 'konduga', 'local', 'government', 'area', 'borno', 'state', 'saturday', 'killing', 'three']",-0.5,Negative
New York Times: A female senator faces down a ‘classic abuse of power’ in Nigeria,BusinessDay,"Apr 06, 2025","When Nigeria’s third most powerful politician was accused of sexual harassment on national television this year, a fierce backlash ensued...",nigeria ’ third powerful politician accused sexual harassment national television year fierce backlash ensued,"['nigeria', '’', 'third', 'powerful', 'politician', 'accused', 'sexual', 'harassment', 'national', 'television', 'year', 'fierce', 'backlash', 'ensued']",0.26666666666666666,Positive
Citizens decry high cost of money in Nigeria,Obinna Emelike,"Apr 06, 2025",…Withdrawal charges on the rise at PoS ‘shops’ …as Banks’ ATMs remain empty despite CBN directives After shopping at a...,…withdrawal charge rise po ‘ shop ’ …as bank ’ atm remain empty despite cbn directive shopping,"['…withdrawal', 'charge', 'rise', 'po', '‘', 'shop', '’', '…as', 'bank', '’', 'atm', 'remain', 'empty', 'despite', 'cbn', 'directive', 'shopping']",-0.1,Neutral
Young professionals lament accommodation woes in cities,Seyi John Salau,"Apr 06, 2025","…Can’t afford decent apartments as urban rent surges …Say living in suburbs lowers their productivity, self-esteem For many young professionals...",…can ’ afford decent apartment urban rent surge …say living suburb lower productivity selfesteem many young professional,"['…can', '’', 'afford', 'decent', 'apartment', 'urban', 'rent', 'surge', '…say', 'living', 'suburb', 'lower', 'productivity', 'selfesteem', 'many', 'young', 'professional']",0.1733333333333333,Positive
Growing indiscipline: Frustrated teachers cry out over unruly pupils,Charles Ogwo,"Apr 06, 2025",…’We’ve left them to their craftiness’ …’Poor parenting destroying children’ Teachers are crying out their frustration over managing unruly pupils...,… ’ ’ left craftiness ’ … ’ poor parenting destroying child ’ teacher cry frustration managing unruly pupil,"['…', '’', '’', 'left', 'craftiness', '’', '…', '’', 'poor', 'parenting', 'destroying', 'child', '’', 'teacher', 'cry', 'frustration', 'managing', 'unruly', 'pupil']",-0.20000000000000004,Negative
More patients with terminal diseases beg for alms,Iwok Iniobong,"Apr 06, 2025",…Overwhelmed families can’t help relatives …Mirrors poor state of healthcare in Nigeria …What we are doing to help out –...,…overwhelmed family ’ help relative …mirrors poor state healthcare nigeria …what help –,"['…overwhelmed', 'family', '’', 'help', 'relative', '…mirrors', 'poor', 'state', 'healthcare', 'nigeria', '…what', 'help', '–']",-0.2,Negative
CBN sells $197.71m as Trump tariffs hit naira,Hope Moses-Ashike,"Apr 05, 2025",The Central Bank of Nigeria (CBN) has intervened in the foreign exchange (FX) with the sale of $197.71 million to...,central bank nigeria cbn intervened foreign exchange fx sale 19771 million,"['central', 'bank', 'nigeria', 'cbn', 'intervened', 'foreign', 'exchange', 'fx', 'sale', '19771', 'million']",-0.0625,Neutral
Nigeria’s debt hits record N145trn on rising borrowings,Wasiu Alli,"Apr 05, 2025",Nigeria’s total public debt reached its highest on record as Africa’s most populous nation continues to rely on borrowings to...,nigeria ’ total public debt reached highest record africa ’ populous nation continues rely borrowing,"['nigeria', '’', 'total', 'public', 'debt', 'reached', 'highest', 'record', 'africa', '’', 'populous', 'nation', 'continues', 'rely', 'borrowing']",0.0,Neutral
"Consumer goods firms brace for recovery amid naira gains, inflation drop",Wasiu Alli,"Apr 05, 2025",Consumer goods firms are beginning to heave a sigh of relief as inflationary pressures are cooling and the Nigerian naira...,consumer good firm beginning heave sigh relief inflationary pressure cooling nigerian naira,"['consumer', 'good', 'firm', 'beginning', 'heave', 'sigh', 'relief', 'inflationary', 'pressure', 'cooling', 'nigerian', 'naira']",0.24999999999999997,Positive
"Adesua Dozie, three others join NNPC’s management as reshuffling continues",Oladehinde Oladipo,"Apr 04, 2025","The ongoing restructuring of the Nigerian National Petroleum Company (NNPC) Limited has seen the appointment of Adesua Dozie, the first...",ongoing restructuring nigerian national petroleum company nnpc limited seen appointment adesua dozie first,"['ongoing', 'restructuring', 'nigerian', 'national', 'petroleum', 'company', 'nnpc', 'limited', 'seen', 'appointment', 'adesua', 'dozie', 'first']",0.08928571428571429,Neutral
"Oil down by $10, new headache for Nigeria’s economy",Abubakar Ibrahim,"Apr 04, 2025","Nigeria’s economy faces fresh risk as international crude oil prices slump by $10 per barrel, threatening the country’s already stretched...",nigeria ’ economy face fresh risk international crude oil price slump 10 per barrel threatening country ’ already stretched,"['nigeria', '’', 'economy', 'face', 'fresh', 'risk', 'international', 'crude', 'oil', 'price', 'slump', '10', 'per', 'barrel', 'threatening', 'country', '’', 'already', 'stretched']",-0.11249999999999999,Negative
Umahi declares Independence Bridge fit for use as he reopens it,Chuka Uroko,"Apr 04, 2025","Minister of works, David Umahi, has declared the rehabilitated Independence Bridge in Lagos fit for use as he reopened it....",minister work david umahi declared rehabilitated independence bridge lagos fit use reopened,"['minister', 'work', 'david', 'umahi', 'declared', 'rehabilitated', 'independence', 'bridge', 'lagos', 'fit', 'use', 'reopened']",0.4,Positive
