Title,Author,Date,Excerpt
MTN eyes second public offer in Nigeria after recovery,Temitayo Jaiyeola,"Apr 10, 2025",MTN Group has announced plans to reduce its shareholding in MTN Nigeria through a public offer after it returns to...
Relief for Nigerians as Dangote cuts petrol price to N865/litre,Oladehinde Oladipo,"Apr 10, 2025","The Dangote Petroleum Refinery has informed marketers of a reduction in the ex-depot price of premium motor spirit (PMS), commonly..."
"Nigeria may miss 70% broadband penetration target by 2025, experts say",BusinessDay,"Apr 10, 2025","With just months to the end of 2025, industry stakeholders have expressed concerns that Nigeria may not achieve its ambitious..."
Remittances hit new level under Cardoso: Highest in 5 yrs,Hope Moses-Ashike,"Apr 10, 2025","Remittance flows into the Nigerian economy rose by nine percent to $20.98 billion in 2024, marking the highest level in..."
PFAs pump N5.5trn into real sector for high yields,Modestus Anaesoronye,"Apr 10, 2025","…As Stanbic IBTC, Access, NPF outpace others in membership registration Pension Fund Administrators (PFAs) have invested N5.51 trillion in Nigeria’s..."
Cocoa output to rise on improved investments,Josephine Okojie,"Apr 10, 2025",…As mid-crop production to defy late rains Nigeria’s 2024/2025 mid-crop cocoa output is expected to rise despite delayed rainfall in...
Petrol price seen dropping as naira-for-crude deal to continue,Abubakar Ibrahim,"Apr 10, 2025",The federal government has said that the naira-for-crude deal with local refiners will continue. Analysts say the deal will likely...
Oil prices hit pandemic level in threat to Nigeria’s revenue,Dipo Oladehinde,"Apr 10, 2025","Nigeria’s economy is facing a renewed strain as global oil prices plummet, reaching levels reminiscent of the devastating downturn experienced..."
Trump halts tariffs for 90 days,Bethel Olujobi,"Apr 09, 2025",U.S. President Donald Trump has announced a 90-day pause on his sweeping tariffs targeting dozens of countries only days after...
Business confidence rises third consecutive month on reforms,Boluwatife Omotayo,"Apr 09, 2025",Business confidence in Nigeria has risen for the third straight month in 2025 as the federal government reforms continue to...
Nigeria posts $6.83bn balance of payments surplus on reforms,Hope Moses-Ashike,"Apr 09, 2025",. Apex bank says signaling economic resurgence The Central Bank of Nigeria (CBN) has announced a balance of payments (BOP)...
Court restrains Housing Ministry from demolishing Banana Island property,Chuka Uroko,"Apr 09, 2025",A federal high court sitting in Lagos has given an interim injunction restraining the Federal Ministry of Housing and Urban...
"Airlines slash fares to Europe on FX rate, low season",Ifeoma Okeke-Korieocha,"Apr 09, 2025",Low travel season and reduction in exchange rates are seeing airlines operating from Nigeria to Europe slash fares and offer...
Naira for crude deal 'remains in effect' – FG,Abubakar Ibrahim,"Apr 09, 2025","The Federal Government, through the Ministry of Finance, has said that the Naira-for-crude deal between the government and local refiners,..."
"Rivers: Shock as Ibas defies court, appoints administrators in 23 LGAs",Ignatius Chukwu,"Apr 09, 2025","Ibok Ekwe Ibas, retired vice admiral and Sole Administrator for Rivers State, has approved appointment of 23 sole administrators in..."
Africa's audacious $60bn AI bet trails global counterparts,Temitayo Jaiyeola,"Apr 09, 2025","Africa is making an audacious $60 billion bet on Artificial Intelligence (AI) development. This amount, representing 2.2 percent of the..."
Pension cash floods infrastructure as assets triple,Modestus Anaesoronye,"Apr 09, 2025","Nigerian pension fund managers have tripled their exposure to infrastructure over the past five years, driven by better project structuring,..."
Trump’s tariffs threaten FMCG recovery as naira takes hit,Wasiu Alli,"Apr 09, 2025",Nigeria’s fast moving consumer goods (FMCGs) sector was banking on the rare calmness of the naira and cooling prices to...
Natasha Akpoti-Uduaghan sues Nwaebonyi for N5bn over alleged defamation,BusinessDay,"Apr 08, 2025","Natasha Akpoti-Uduaghan, suspended senator representing Kogi Central, has filed a N5 billion defamation lawsuit against fellow senator Onyekachi Nwaebonyi over..."
"Borno: We are losing ground to terrorists, Zulum raises alarm",Olatunji Omirin,"Apr 08, 2025","Governor Babagana Zulum of Borno State on Tuesday lamented over daily killing, dislodgement of military formations and abduction of people..."
"Banana Island residents, ministry officials bicker over access road construction",Chuka Uroko,"Apr 08, 2025",The residents of Banana Island in Lagos and officials of the federal ministry of works were at logger-head Tuesday over...
"Tinubu, Obi, others mourn boardroom icon Pascal Dozie",Faith Omoboye,"Apr 08, 2025","Nigeria is in mourning following the passing of one of its most illustrious business figures, Pascal Gabriel Dozie, who died..."
Pascal Dozie: The visionary who banked on Nigeria’s future,Faith Omoboye,"Apr 08, 2025","In the story of modern Nigerian enterprise, few names resonate as deeply as Pascal Dozie — a man whose journey..."
"Diamond Bank founder, Pascal Dozie dies at 86",Temi Bamgbose,"Apr 08, 2025","Pascal Dozie, a renowned Nigerian entrepreneur and business leader has died. He would have been 86 tomorrow. According to sources..."
Nigeria’s FDI outlook dims over oil price rout,BusinessDay,"Apr 08, 2025",..FG’s N20trn oil revenue threatened The sustained downturn in global oil prices is casting a long shadow over Nigeria’s energy...
FG weighs budget reset amid Trump's tariff turmoil,Onyinye Nwachukwu,"Apr 08, 2025","…As MOFI launches performance scorecard to enhance portfolio transparency, governance In response to U.S. President Donald Trump’s 14 percent tariff..."
Banking on bytes: Lenders boost tech spend by 90%,Temitayo Jaiyeola,"Apr 08, 2025","Seven banks ramped up spending on technology in 2024 to match rising demand for electronic payments, which crossed the N1..."
Nigeria stocks join global plunge on tariff turmoil,Iheanyi Nwachukwu,"Apr 08, 2025",..Investors lose N659bn ..$5.3trn wiped off S&P 500 in two days Stock investors in Nigeria were left reeling from the...
Trump's tariffs seen reigniting AfCFTA,Bethel Olujobi,"Apr 08, 2025",U.S. President Donald Trump’s tariff blitz may do what years of diplomacy haven’t; push African nations to double down on...
"Saudi Arabia imposes visa ban on Nigeria, 13 others ahead of Hajj",Oluwatosin Ogunjuyigbe,"Apr 07, 2025","Saudi Arabia has announced a significant change to its visa policy, restricting nationals from 14 countries, including Nigeria, from applying..."
Nigeria stocks join global plunge on Trump's tariff turmoil,Iheanyi Nwachukwu,"Apr 07, 2025",…dips by 1.23% as week opens Nigeria’s stock investors lost about N659billion at the close of trading on Monday. The...
Top 10 stocks with the highest dividend yield in 2025,David Olujinmi,"Apr 07, 2025","Despite economic headwinds, thirty-nine of the 150 companies listed on the Nigerian Exchange declared dividends for the 2024 financial year...."
CBN opens dollar tap as Trump tariffs test naira,Hope Moses-Ashike,"Apr 07, 2025",The Central Bank of Nigeria (CBN) sold dollars on the official market Friday as it stepped in to bolster liquidity...
Nine banks rake N922.5bn in fees as customers decry rising charges,Hope Moses-Ashike,"Apr 07, 2025",Some of Nigeria’s largest commercial banks earned a combined N922.5 billion ($589 million) from net fees and commission charges in...
Nigeria’s local processing bill: Economic boost or burden?,BusinessDay,"Apr 07, 2025",A proposed bill in Nigeria mandating that all raw materials be processed locally to a minimum of 30 percent before...
Explainer. How banks defied odds to make record profits in 2024,Eniola Olatunji,"Apr 07, 2025",The ultimate paradox is unravelling in Nigeria as banks declare record profits at a time when several businesses are reporting...
OpenAI vs. Google: The relentless battle for AI supremacy,Temitayo Jaiyeola,"Apr 07, 2025","Since OpenAI launched ChatGPT in 2022, artificial intelligence (AI) has reshaped the way humans think and operate. Contrary to fears..."
"Death toll from meningitis outbreak reaches 151, says NCDC",Godsgift Onyedinefu,"Apr 06, 2025",The Nigerian Centre for Disease Control (NCDC) has reported that the death toll from the ongoing meningitis outbreak has reached...
"Three dead, over 3,000 displaced in Borno fire outbreak",BusinessDay,"Apr 06, 2025","A devastating fire ripped through the Kalari settlement in Konduga Local Government Area of Borno State on Saturday, killing three..."
New York Times: A female senator faces down a ‘classic abuse of power’ in Nigeria,BusinessDay,"Apr 06, 2025","When Nigeria’s third most powerful politician was accused of sexual harassment on national television this year, a fierce backlash ensued..."
Citizens decry high cost of money in Nigeria,Obinna Emelike,"Apr 06, 2025",…Withdrawal charges on the rise at PoS ‘shops’ …as Banks’ ATMs remain empty despite CBN directives After shopping at a...
Young professionals lament accommodation woes in cities,Seyi John Salau,"Apr 06, 2025","…Can’t afford decent apartments as urban rent surges …Say living in suburbs lowers their productivity, self-esteem For many young professionals..."
Growing indiscipline: Frustrated teachers cry out over unruly pupils,Charles Ogwo,"Apr 06, 2025",…’We’ve left them to their craftiness’ …’Poor parenting destroying children’ Teachers are crying out their frustration over managing unruly pupils...
More patients with terminal diseases beg for alms,Iwok Iniobong,"Apr 06, 2025",…Overwhelmed families can’t help relatives …Mirrors poor state of healthcare in Nigeria …What we are doing to help out –...
CBN sells $197.71m as Trump tariffs hit naira,Hope Moses-Ashike,"Apr 05, 2025",The Central Bank of Nigeria (CBN) has intervened in the foreign exchange (FX) with the sale of $197.71 million to...
Nigeria’s debt hits record N145trn on rising borrowings,Wasiu Alli,"Apr 05, 2025",Nigeria’s total public debt reached its highest on record as Africa’s most populous nation continues to rely on borrowings to...
"Consumer goods firms brace for recovery amid naira gains, inflation drop",Wasiu Alli,"Apr 05, 2025",Consumer goods firms are beginning to heave a sigh of relief as inflationary pressures are cooling and the Nigerian naira...
"Adesua Dozie, three others join NNPC’s management as reshuffling continues",Oladehinde Oladipo,"Apr 04, 2025","The ongoing restructuring of the Nigerian National Petroleum Company (NNPC) Limited has seen the appointment of Adesua Dozie, the first..."
"Oil down by $10, new headache for Nigeria’s economy",Abubakar Ibrahim,"Apr 04, 2025","Nigeria’s economy faces fresh risk as international crude oil prices slump by $10 per barrel, threatening the country’s already stretched..."
Umahi declares Independence Bridge fit for use as he reopens it,Chuka Uroko,"Apr 04, 2025","Minister of works, David Umahi, has declared the rehabilitated Independence Bridge in Lagos fit for use as he reopened it...."
"Hakeem Baba-Ahmed, Tinubu's political adviser resigns",Anthony Ailemen,"Apr 04, 2025","Hakeem Baba-Ahmed, Tinubu’s Political Adviser has resigned. BusinessDay gathered from sources at the Presidential Villa, that Baba-Ahmed sent in his..."
"Supreme Court sacks Abure as LP Chairman, describes Usman's appeal as "" meritorious""",Anthony Ailemen,"Apr 04, 2025","The Supreme Court on Friday, sacked Julius Abure, the embattled National Chairman of the Labour Party (LP). The apex Court..."
"I’ll present sexual assault evidence against Akpabio at the right time, says Natasha Akpoti",Oluwatosin Ogunjuyigbe,"Apr 04, 2025","Senator Natasha Akpoti-Uduaghan, representing Kogi Central, has stated she will provide evidence to support her sexual harassment allegations against Senate..."
US stocks record worst day since COVID as Trump's tariffs spook investors,Oluwatosin Ogunjuyigbe,"Apr 04, 2025","US stocks suffered their worst drop since the pandemic, erasing $2.5 trillion in value after President Donald Trump announced major..."
N55bn debt from neighbours strains Nigeria’s power sector,Faith Esifiho,"Apr 04, 2025","Nigeria’s power sector is feeling the squeeze as unpaid electricity debts from neighboring West African nations mount, deepening financial pressures..."
Nigeria Eurobonds tumble as Trump tariffs trigger turmoil,Eniola Olatunji,"Apr 04, 2025",…JP Morgan bullish on naira debt as FX reserves climb Yields on Nigerian Eurobonds jumped to the highest level this...
Telcos splash cash on network upgrade to appease frustrated customers,Temitayo Jaiyeola,"Apr 04, 2025",Relief may be on the way for millions of Nigerians left frustrated by worsening network connectivity as telecom operators embark...
Natasha Akpoti’s recall petition fails to get 50% signatures - INEC,BusinessDay,"Apr 03, 2025","The petition seeking the recall of the suspended Natasha Akpoti-Uduaghan, the Senator representing Kogi Central Senatorial District, has failed to..."
"Investors flock to big banks as GTCO, Zenith lead in share price",Wasiu Alli,"Apr 03, 2025","The first quarter of 2025 has been a defining period for Nigeria’s tier-1 banks with significant shifts in share prices,..."
NNPCL increases petrol price to N950/litre,Oluwatosin Ogunjuyigbe,"Apr 03, 2025","After holding back at first, the Nigerian National Petroleum Company Limited has raised the price of petrol to N925 per..."
How you can defeat the Band A “anemia”,BusinessDay,"Apr 03, 2025","Middle-class Nigerians have a new affliction. It is the Band A anemia, a troubling pain that comes at the end..."
Nigeria hit as Trump imposes sweeping tariffs,Bethel Olujobi,"Apr 02, 2025",U.S. President Donald Trump has announced a 10 percent baseline tariff on imports from all countries and higher rates on...
Seven hurdles facing new-look NNPC,Dipo Oladehinde,"Apr 02, 2025","From reviving idle oil fields to meeting the 2 million barrels per day production target, Bayo Ojulari, the new group..."
Edo Guber Election: Tribunal declares Monday Okpebholo winner,BusinessDay,"Apr 02, 2025",The Edo State Governorship Election Petition Tribunal has declared Gov Monday Okpebholo of APC as the rightful winner of the September 21 gubernatorial election in the state....
Naira gains as net FX reserves hit 3yr high,Hope Moses-Ashike,"Apr 02, 2025",Nigeria’s naira climbed the most against the dollar in two weeks after the central bank said net foreign-exchange reserves climbed...
Tinubu gets all-round applause for NNPC’s new look,Abubakar Ibrahim,"Apr 02, 2025","President Bola Tinubu has won plaudits for the appointments made to the board of the state energy company, NNPC, with..."
Lagos at standstill as Independence bridge repairs begin,Chuka Uroko,"Apr 02, 2025","Lagos, Nigeria’s commercial capital, was under lockdown by traffic Wednesday, a result of the shock closure of a critical bridge..."
"Edo tribunal upholds Okpebholo’s victory, dismisses AA's petition",BusinessDay,"Apr 02, 2025",Governor Monday Okpebholo and the All Progressives Congress (APC) have secured their first victory in the legal battle over the...
Tinubu embarks on working visit to France,Anthony Ailemen,"Apr 02, 2025","President Bola Tinubu will depart for Paris, France, today, Wednesday, on a short working visit. Bayo Onanuga, Presidential Spokesman, said..."
"Austin Avuru, Musa-Kida join NNPC’s board as Tinubu reshuffles",Abubakar Ibrahim,"Apr 02, 2025","President Bola Tinubu has executed a comprehensive overhaul of the Nigerian National Petroleum Company Limited (NNPC) board, ushering in a..."
"Profile: Meet Bayo Ojulari, the veteran Engineer in charge of NNPC",Oladehinde Oladipo,"Apr 02, 2025","In the heart of Nigeria’s energy sector, a new chapter unfolds as Bayo Ojulari, a seasoned engineer with a career..."
"Tinubu sacks Mele Kyari, appoints Bayo Ojulari as NNPC CEO",Oladehinde Oladipo,"Apr 02, 2025","… tasks new board with boosting refining capacity to 500,000 bpd by 2030 President Bola Tinubu has removed Mele Kyari..."
Business confidence rises to 14-month high on easing inflation,Chinwe Michael,"Apr 02, 2025",Business confidence in Africa’s most populous nation rose to the highest level in 14 months in March as businesses reported...
Nigerians skip air travel as high costs ground flights,Ifeoma Okeke-Korieocha,"Apr 02, 2025","Nigeria’s domestic air travel declined in 2024, driven by aircraft shortages and soaring ticket prices that placed air travel out..."
Solar import ban risks backfiring in energy-starved Nigeria,Oladehinde Oladipo,"Apr 02, 2025","When Chidi Okonkwo, a businessman who relies on solar panels to keep his grocery shop running, first heard of the..."
Nigeria’s net reserves soars to 3-yr high as CBN’s policies pay off,Wasiu Alli,"Apr 01, 2025",Nigeria’s net foreign exchange reserves (NFER) swelled to its highest levels in at least three years as measures implemented by...
Mammoth crowd receives Natasha Akpoti in Kogi despite ban on rally,Taofeek Oyedokun,"Apr 01, 2025","Natasha Akpoti-Uduaghan, representing Kogi Central in the Senate, on Tuesday received a grand reception from her supporters and residents of..."
Nigerian govt to implement drill or drop policy on IOCs,Cynthia Egboboh,"Apr 01, 2025",…urge companies to develop assets The federal government has called on International Oil Companies (IOCs) operating in Nigeria to ensure...
Nigeria's new investment law empowers SEC to obtain user data from telcos,Iheanyi Nwachukwu,"Apr 01, 2025",Nigeria’s newly signed Investment and Securities Act (ISA 2025) has empowered the Securities and Exchange Commission (SEC) to obtain user...
Gold hits all-time high as Trump’s actions spark uncertainty,David Olujinmi,"Apr 01, 2025","Gold has surged to a record high, with spot prices trading at approximately $3,132 per ounce as of 1:00 PM..."
Edo governorship election tribunal set to deliver judgment tomorrow,BusinessDay,"Apr 01, 2025",The Edo State Governorship Elections Petition Tribunal will deliver its judgment on the petition filed by the Peoples Democratic Party...
Nigeria recognises cryptocurrencies as securities in landmark legal shift,Iheanyi Nwachukwu,"Apr 01, 2025","Nigeria’s new capital market laws now officially classify cryptocurrencies and other virtual assets as securities for the first time, in..."
Nigeria’s onion industry: Profit in every peel,Faith Donatus,"Apr 01, 2025","Rising global demand for onions is creating a lucrative opportunity for investors to tap into processing and export, unlocking new..."
Subscribers hit as telco towers turn targets for vandals,Temitayo Jaiyeola,"Apr 01, 2025","Persistent attacks on telecommunication infrastructure, including fibre cuts, vandalism, and theft, are disrupting network stability across the country, leaving subscribers..."
N200bn Nigerian exports face new Sahel tariff,Oluwatobi Ojabello,"Apr 01, 2025","Mali, Burkina Faso, and Niger’s military rulers have imposed a 0.5 percent tariff on ECOWAS imports, threatening N234 billion in..."
Big banks lead as Nigerian lenders boost shareholder returns,Oluwole Crowther,"Mar 31, 2025","Nigeria’s biggest banks are setting the pace in delivering value to investors, outpacing smaller rivals in shareholder returns. BusinessDay analysed..."
"CBN shakes up oil and gas industry with new terminal assignments, boosts transparency",Hope Moses-Ashike,"Mar 31, 2025",The Central Bank of Nigeria (CBN) has announced a comprehensive review of the allocation of terminals to Pre-Shipment Inspection Agents...
Okpebholo visits Kano over Uromi killing,Adeola Ajakaiye,"Mar 31, 2025","Monday Okpebholo, the governor of Edo, in Kano on Monday has condemned the brutal killing of 16 hunters in Udune,..."
Life annuities surge as retirees seek stability,Modestus Anaesoronye,"Mar 31, 2025",The demand for retiree life annuities is rising as more Nigerians seek financial security in old age amid economic uncertainty....
"Mali, Burkina Faso, Niger impose 0.5% import levy on ECOWAS nations to fund new alliance",Ojochenemi Onje,"Mar 31, 2025","The military-led governments of Mali, Burkina Faso, and Niger have imposed 0.5% import levy on goods entering their territories. This..."
EXPLAINER: Can Trump serve a third term as US president?,BusinessDay,"Mar 31, 2025",Donald Trump has said he is “not joking” about wanting to serve a third term as US president. The US...
"Rivers Chief of Staff, Ehie alleges N5bn bribe offer to impeach Fubara",Imoh Bright,"Mar 31, 2025","Edison Ehie, the chief of staff to suspended Rivers State governor Siminalayi Fubara, says he was offered a N5 billion..."
"Two dead, 20 injured in Gombe Eid-el-Fitr prayer ground stampede",Imoh Bright,"Mar 31, 2025","A chaotic stampede at the main Eid-el-Fitr prayer ground in Gombe State turned a day of celebration into tragedy, leaving..."
Global stocks extend plunge with deepening US tariff fears,BusinessDay,"Mar 31, 2025","Global stock markets tumbled Monday, with the S&P 500 futures heading for a 1% loss on the final day of..."
"Okpebholo suspends security chief, bans unregistered vigilantes after 16 hunters killed",Oluwatosin Ogunjuyigbe,"Mar 31, 2025","Edo State Governor Monday Okpebholo has taken action following a tragic incident in the Uromi area, suspending the commander of..."
Interbank rate hits 5 yr-high as CBN tightens liquidity,Hope Moses-Ashike,"Mar 31, 2025","Nigeria’s interbank lending rate surged to a five-year high of 28.58 percent in January 2025, reflecting the Central Bank of..."
Ranked: Meet top Nigerian banks driving shareholder value,Oluwole Crowther,"Mar 31, 2025",BusinessDay analysed the financial statements of the eight banks to have published their results for 2024 in order to uncover...
Lawmakers split on LG autonomy as conflicting bills pass second reading,Godsgift Onyedinefu,"Mar 31, 2025","…analysts urge true federalism Nigeria’s House of Representatives is now at an impasse over the future of local government autonomy,..."
I once threatened to sack Wike - Tinubu,Anthony Ailemen,"Mar 30, 2025",…Urge Nigerians to have compassion on the vulnerable President Bola Tinubu on Sunday recalled how he threatened to sack Nyesom...
Nigeria secures $500 million World Bank loan to boost economic resilience,BusinessDay,"Mar 30, 2025",The World Bank has approved a $500 million loan to Nigeria to support the country’s Community Action for Resilience and Economic Stimulus Program....
"Petrol prices surge to N970/Litre at the pump amid industry war, rising import costs ",Abubakar Ibrahim,"Mar 30, 2025","The price of Premium Motor Spirit (PMS), popularly known as petrol at the pump, has reportedly risen to between N930 and N970 per litre...."
"NEF gives Edo, FG 14-day ultimatum to prosecute northern hunters’ killers",Tolulope Popoola,"Mar 30, 2025",NEF has issued a 14-day ultimatum to the Edo State and FG to prosecute those responsible for the killing of 16 northern hunters in Edo State....
Naira redesign crisis nearly made me quit presidential race - Tinubu,Tolulope Popoola,"Mar 30, 2025",President Tinubu says the cash scarcity resulting from the naira redesign policy nearly compelled him to abandon his 2023 presidential bid....
Rising data costs may ambush Nigeria’s content creation boom,Taofeek Oyedokun,"Mar 30, 2025",…Viewers reduce appetite for video content …Creators lament traffic slump …Nigerians now economical with data The content creation industry in...
"2023 election: I almost gave up, but for Masari - Tinubu",Anthony Ailemen,"Mar 30, 2025",…Says “Nigeria reached a point of no return on fuel subsidy”   President Bola Tinubu on Saturday night recalled how...
FG wages war against vandals of bridges’ infrastructure across Lagos,Seyi John Salau,"Mar 30, 2025","…Replaces iron railings with concrete guardrails The Federal Government continues to contend with the unwholesome activities of hoodlums, urchins and..."
Nigerians express frustration at judiciary’s role in nation’s political morass,BusinessDay,"Mar 30, 2025","…Say, ‘no reasonable investor will dare to come’ …Efforts to build sustainable democracy threatened …As politicians taint judges’ conscience, integrity..."
How one-building school facility limits pupils’ total education,Charles Ogwo,"Mar 30, 2025","…Proprietors disregard psychomotor domain …As 70% of private schools lack playground facilities in Lagos, others All work and no play,..."
"NESG hails NNPC IPO plans, opposes suspension of naira-for-crude policy",Onyinye Nwachukwu,"Mar 29, 2025",The National Economic Summit Group (NESG) has expressed strong support for the Nigerian National Petroleum Corporation’s (NNPC) planned Initial Public...
"El-Rufai not yet our member, says Kaduna SDP Chairman",Adeola Ajakaiye,"Mar 29, 2025","The Social Democratic Party (SDP), Kaduna State chapter, has debunked the claim that former governor, Nasir El-Rufai is a member..."
"Fubara denies allegations of political crisis, blasts ex-head of service",Tolulope Popoola,"Mar 29, 2025","Siminalayi Fubara, has dismissed allegations made against him by George Nwaeke, the former head of service (HoS) of the state...."
Edo killings: Survivors recount horror that took 16 lives,Obidike Okafor,"Mar 29, 2025",The dusty roads of Torankawa village in Bunkure Local Government Area of Kano State are shrouded in mourning. Families huddle...
Tinubu signs new investment law to boost Nigeria’s capital market,Tolulope Popoola,"Mar 29, 2025","President Bola Ahmed Tinubu has signed the Investment and Securities Act (ISA) 2024 into law, marking a significant step in..."
Tinubu orders manhunt for killers of northern travellers in Edo,Taofeek Oyedokun,"Mar 29, 2025",President Bola Tinubu has ordered security agencies to launch a manhunt for the killers of a group of northern hunters...
Inflation-infused input cost surge pressures manufacturers,Folake Balogun,"Mar 29, 2025",Manufacturers operating in the consumer goods sector are battling with rising input costs which are inflation-infused. Eight firms analysed by...
Naira ends week with N30 gain in black market as liquidity improves,Hope Moses-Ashike,"Mar 28, 2025","The naira gained N30 in the black market at the end of the week, while it closed flat at the..."
House bill on 60-year limit for politicians faces public backlash,Godsgift Onyedinefu,"Mar 28, 2025",Political analysts and governance experts have criticised a proposed bill in the House of Representatives seeking to impose an age...
Nigeria stock market decreases by 1.99% in March,Iheanyi Nwachukwu,"Mar 28, 2025",Nigeria’s equities market decreased by 1.99 percent in the month of March as Friday March 28 becomes the last trading...
"Nigeria's resource control bill sparks debate on political stability, regional disparities",Cynthia Egboboh,"Mar 28, 2025",A bill that seeks to grant state governments control over their own oil and mineral resources has moved one step...
Credit demand seen rising on likely Nigeria rate cut,Wasiu Alli,"Mar 28, 2025",Demand for credit by businesses and consumers in Africa’s most populous nation is expected to rise as a sharp decline...
"NNPC revives long-delayed IPO, shops for advisers",Oladehinde Oladipo,"Mar 28, 2025","The Nigerian National Petroleum Company Limited (NNPC Ltd.) is reviving plans for an Initial Public Offering (IPO), signalling a renewed..."
Reps’ U-turn on immunity bill sparks public outrage,Godsgift Onyedinefu,"Mar 28, 2025","…political analysts, CSOs knock lawmakers, say lack courage The House of Representatives’ decision to rescind the bill seeking to strip..."
Biggest snubs on the 2025 AMVCA nomination list,Anthony Udugba,"Mar 28, 2025","The 2025 Africa Magic Viewers’ Choice Awards (AMVCA) nominations have ignited debates across Nollywood and beyond, as several critically acclaimed..."
How to move Nigeria from food scarcity to security,BusinessDay,"Mar 28, 2025","Experts say large-scale technology adoption, affordable credit access and a systems approach can significantly impact Nigeria’s agriculture as the country..."
"Reps set 60-year age limit for presidential, governorship candidates",Chioma Onuh,"Mar 27, 2025",The House of Representatives on Thursday passed for second reading a constitutional amendment bill seeking to bar individuals above the...
"Bill for same-day presidential, governorship elections passes second reading in Senate",BusinessDay,"Mar 27, 2025","The Senate has passed for second reading a bill seeking to amend the Electoral Act to allow presidential, governorship, National..."
"Senate rejects renaming INEC headquarters after Nwosu, 1993 poll umpire",BusinessDay,"Mar 27, 2025","For the second time, the Senate has rejected a motion seeking to rename the Independent National Electoral Commission Headquarters after..."
Liquidity surge drives T-Bills yields downward,Eniola Olatunji,"Mar 27, 2025",Improved liquidity on the Nigerian one-year Treasury bills (T-Bills) eased pressure on government short-term borrowing costs as yields declined. Subscription...
"Reps rescind bill to strip VP, governors of immunity",Godsgift Onyedinefu,"Mar 27, 2025",The House of Representatives has rescinded its earlier passage of a bill seeking to amend the 1999 Constitution to remove...
Lagos unveils 3-pillar proposal to address Nigeria’s food insecurity,Feyishola Jaiyesimi,"Mar 27, 2025","Lagos State is proposing a unified national approach to tackling food scarcity, promoting food security and addressing Nigeria’s deepening food..."
Reps pass bill to give foreign investors Nigerian citizenship,Godsgift Onyedinefu,"Mar 27, 2025",The House of Representatives has passed a bill to give foreign investors Nigerian Citizenship for second reading. The proposed legislation...
Reps' constitutional amendment bills erode federalism,Taofeek Oyedokun,"Mar 27, 2025",A wave of constitutional amendments making its way through Nigeria’s House of Representatives could erode what is left of Nigeria’s...
